rating,imdbid,id,title,year
0,3155794,9602,Passage de Venus,1874
0,14495706,9804,La Rosace Magique,1877
0,2221420,9603,Sallie Gardner at a Gallop,1878
0,12592084,9806,Le singe musicien,1878
0,7816420,9816,Athlete Swinging a Pick,1881
0,5459794,9831,Buffalo Running,1883
0,8588366,9832,L&#39;homme machine,1885
0,2075247,9614,Man Walking Around the Corner,1887
0,8133192,9836,Cockatoo Flying,1887
0,7411790,9837,Child Carrying Flowers to Woman,1887
0,7541160,9838,Jumping Over a Man&#39;s Back-Leapfrog,1887
0,7754902,9841,Man Riding Jumping Horse,1887
0,8361552,9902,Baboon Climbing a Pole,1887
0,0392728,8040,Roundhay Garden Scene,1888
0,1758563,9615,Accordion Player,1888
0,0343112,9616,Traffic Crossing Leeds Bridge,1888
0,3274100,9675,Pferd und Reiter Springen uber ein Hindernis,1888
0,2116853,9947,Brighton Street Scene,1888
0,0466876,9619,"Leisurely Pedestrians, Open Topped Buses and Hansom Cabs with Trotting Horses",1889
0,2116898,9945,Hyde Park Corner,1889
0,0361921,9617,"Monkeyshines, No. 1",1890
0,0416046,9618,"Monkeyshines, No. 2",1890
0,1202028,9621,London&#39;s Trafalgar Square,1890
0,0416047,9678,"Monkeyshines, No. 3",1890
0,5285442,9946,Mosquinha,1890
0,2116968,9944,"Traffic in King&#39;s Road, Chelsea",1890
0,0241373,9626,Dickson Greeting,1891
0,0241715,9628,Men Boxing,1891
0,0241763,9629,Newark Athlete,1891
0,0241393,9792,"Duncan and Another, Blacksmith Shop",1891
0,0241392,9793,Duncan Smoking,1891
0,0241394,9794,Duncan or Devonald with Muslin Cloud,1891
0,0241735,9795,"Monkey and Another, Boxing",1891
0,3201916,9800,Je vous aime,1891
0,3508566,9802,La vague,1891
0,5447082,9943,Two Fencers,1891
0,0000003,5433,Pauvre Pierrot,1892
0,0000004,9631,Un bon bock,1892
0,0000002,9632,Le clown et ses chiens,1892
0,0241446,9951,Fencing,1892
0,0234520,9952,Le prince de Galles,1892
0,0242148,9948,Wrestling,1892
0,0241266,9986,Boxing,1892
0,0000005,9583,Blacksmith Scene,1893
0,0229217,9636,Annabelle Butterfly Dance,1894
0,8419312,9642,Edison Kinetoscope Records: Annie Oakley,1894
0,0000015,9646,Autour d&#39;une cabine,1894
0,0229235,9648,"Barbershop, The",1894
0,0309396,9649,Bucking Broncho,1894
0,0309402,9650,Buffalo Dance,1894
0,0000001,9651,Carmencita,1894
0,0000008,9652,Edison Kinetoscopic Record of a Sneeze,1894
0,0177707,9654,Dickson Experimental Sound Film,1894
0,0000006,9655,Chinese Opium Den,1894
0,0000007,9656,Corbett and Courtney Before the Kinetograph,1894
0,2049440,9662,Falling Cat,1894
0,0312728,9663,"Glenroy Bros., No. 2",1894
0,0256782,9664,Glenroy Brothers,1894
0,0203646,9668,Leonard-Cushing Fight,1894
0,0277115,9671,"Luis Martinetti, Contortionist",1894
0,2161519,9673,Sandow No. 2,1894
0,2161521,9674,Sandow No. 3,1894
0,0413219,9681,Reve au coin du feu,1894
0,0000009,9779,Miss Jerry,1894
0,0000014,5444,Tables Turned on the Gardener,1895
0,0132134,6200,"Execution of Mary, Queen of Scots, The",1895
1,0000011,9679,Akrobatisches Potpourri,1895
0,0154152,9683,Annabelle Serpentine Dance,1895
0,0000017,9714,Italienischer Bauerntanz,1895
1,0000029,9715,Baby&#39;s Dinner,1895
0,0477266,9766,Billy Edwards and the Unknown,1895
0,0000022,9767,Blacksmith Scene,1895
0,0000016,9787,Barque sortant du port,1895
0,0000091,4982,"House of the Devil, The",1896
0,0000131,5406,Une nuit terrible,1896
0,0223341,5445,La fee aux choux,1896
0,0000012,6199,"Arrival of a Train, The",1896
0,1428455,9672,Sandow,1896
0,1672718,9949,Alger: rue Bab-Azoun,1896
0,1736599,9950,Lassage des boeufs pour le labour,1896
0,0222137,9901,Lancement d&#39;un navire,1896
0,0000041,9328,Bataille de neige,1897
0,0135696,4978,Four Heads Are Better Than One,1898
0,0000211,5410,"Astronomer&#39;s Dream; or, The Man in the Moon, The",1898
0,0224240,5411,"Temptation of St. Anthony, The",1898
0,0000246,4994,A Turn of the Century Illusionist,1899
3,0000230,5914,Cinderella,1899
0,0291476,1594,Sherlock Holmes Baffled,1900
0,0000300,4271,"Enchanted Drawing, The",1900
0,0000304,4343,Grandma&#39;s Reading Glass,1900
0,0000272,4344,As Seen Through A Telescope (a.k.a The Professor and His Field Glass),1900
0,0257654,4345,Explosion of a Motor Car (a.k.a The Dlights of Automobiling),1900
0,0000306,4346,Hamlet ( Le Duel d&#39;Hamlet),1900
0,0135453,4993,"One-Man Band, The",1900
0,0377995,5069,Grandma Threading Her Needle,1900
0,0230746,5072,"Searching Ruins on Broadway, Galveston, for Dead Bodies",1900
0,0000313,5438,Let Me Dream Again,1900
0,0227438,5446,"Doctor and the Monkey, The",1900
0,0000359,4995,L&#39;homme a la tete en caoutchouc,1901
0,0258104,5437,Reve et realite,1901
0,0131934,5500,Bluebeard,1901
0,0000417,1252,Le voyage dans la lune,1902
0,0229024,5431,Gulliver&#39;s Travels,1902
0,0367177,5432,"Twentieth Century Tramp; or, Happy Hooligan and His Airship, The",1902
0,0000413,5443,Mephistopheles&#39; School of Magic,1902
0,0000439,1319,"Great Train Robbery, The",1903
0,0135180,5002,"Infernal Boiling Pot, The",1903
0,0000455,5063,"Music Lover, The",1903
0,0223755,5064,"Monster, The",1903
0,0189498,5683,"Enchanted Well, The",1903
0,0215664,5224,"Cook in Trouble, The",1904
0,0135179,5404,"Living Playing Cards, The",1904
0,0135631,5601,"Untamable Whiskers, The",1904
0,0000499,6135,Le voyage a travers l&#39;impossible,1904
0,0135690,5003,"Scheming Gambler&#39;s Paradise, The",1905
0,0215575,5602,"Black Imp, The",1905
1,0000574,1349,"Story of the Kelly Gang, The",1906
0,0216016,5024,"Mysterious Retort, The",1906
0,0000554,5435,Humorous Phases of Funny Faces,1906
0,0135122,5603,"Hilarious Posters, The",1906
0,0000567,5684,"400 Tricks of the Devil, The",1906
0,0449172,6206,A Funny Shave,1906
0,1260944,7215,"Consequence of Feminism, The",1906
0,0215737,5223,"Eclipse: Courtship of the Sun and Moon, The",1907
0,0215817,5615,Good Glue Sticks,1907
0,1802750,6231,Unusual Cooking,1908
2,0001009,4409,"Princess Nicotine; or, The Smoke Fairy",1909
0,0127948,5635,"Devilish Tenant, The",1909
1,0277596,6211,Le barometre de la fidelite,1909
3,0232821,1464,Tilly the Tomboy Visits the Poor,1910
0,0486978,4983,Mobilier fidele,1910
0,1515725,5685,A Trip to Mars,1910
2,0002101,2003,Cleopatra,1912
0,0002281,2005,"Invaders, The",1912
0,0277865,5357,Max and the Donkey,1912
0,0003512,5364,"Voyage of the Bourrichon Family, The",1913
0,0003424,5915,Suspense,1913
2,0003973,4457,A Florida Enchantment,1914
2,0004972,1258,"Birth of a Nation, The",1915
3,0006745,2008,Gretchen the Greenhorn,1916
3,0279914,2014,Lady Windermere&#39;s Fan,1916
0,0007507,5368,"Vagabond, The",1916
0,0006864,5944,Intolerance: Love&#39;s Struggle Throughout the Ages,1916
3,0007361,7004,Snow White,1916
3,0008652,1981,A Tale of Two Cities,1917
3,0008499,1993,Rebecca of Sunnybrook Farm,1917
3,0008443,1994,"Poor Little Rich Girl, The",1917
0,0008519,2015,A Romance of the Redwoods,1917
2,0008489,2019,"Raffles, the Amateur Cracksman",1917
3,0009682,1996,Tarzan of the Apes,1918
3,0009652,2007,Stella Maris,1918
0,0008844,5441,Are Crooks Dishonest?,1918
3,0010281,7108,Ich mochte kein Mann sein,1918
3,0010879,2018,When the Clouds Roll by,1919
0,0009968,2588,Broken Blossoms or The Yellow Man and the Girl,1919
0,0010323,1306,"Cabinet of Dr. Caligari, The",1920
3,0011588,1991,Pollyanna,1920
3,0011870,5948,Within Our Gates,1920
3,0012532,1263,Orphans of the Storm,1921
0,0012349,3945,"Kid, The",1921
3,0011979,4204,"Blot, The",1921
2,0012364,5898,K&ouml;rkarlen (The Phantom Carriage),1921
2,0013442,1307,"Nosferatu, eine Symphonie des Grauens",1922
2,0013496,1631,"Phantom, The",1922
2,0013428,1778,Nathan der Weise,1922
1,0013367,2001,"Man from Beyond, The",1922
3,0013257,3800,H&auml;xan: Witchcraft Through the Ages,1922
0,0012543,5361,"Paleface, The",1922
1,0013427,5901,Nanook of the North,1922
3,0013140,5958,Foolish Wives,1922
3,0013086,5967,"Dr. Mabuse, der Spieler - Ein Bild der Zeit",1922
0,0014429,1961,Safety Last!,1923
0,0014611,1967,Why Worry?,1923
2,0014469,1998,"Silent Command, The",1923
3,0013626,5888,La souriante Madame Beudet,1923
0,0014341,5949,Our Hospitality,1923
2,0014624,8947,A Woman of Paris,1923
2,0015175,1337,Die Nibelungen,1924
2,0015174,1338,Kriemhild&#39;s Revenge,1924
0,0015400,1264,"Thief of Bagdad, The",1924
0,0015498,1960,Wild Oranges,1924
0,0015163,2009,"Navigator, The",1924
0,0015324,2011,Sherlock Jr.,1924
0,0014945,2016,Girl Shy,1924
3,0015116,2020,Manhandled,1924
0,1764657,2413,"Great White Silence, The",1924
0,0013845,6209,Help!,1924
3,0015881,8458,Greed,1924
2,0016220,1305,"Phantom of the Opera, The",1925
0,0015648,1308,Battleship Potemkin,1925
0,0015864,1309,"Gold Rush, The",1925
0,0015863,1978,Go West,1925
0,0015841,2012,"Freshman, The",1925
0,0016332,3077,Seven Chances,1925
2,0016039,5514,"Lost World, The",1925
2,0015624,5962,"Big Parade, The",1925
0,0015361,5991,Stachka,1925
1,0017449,1334,"Temptress, The",1926
1,0016884,1260,Flesh and the Devil,1926
0,0017925,1310,"General, The",1926
0,0016895,1966,For Heaven&#39;s Sake,1926
3,0017410,3217,So&#39;s Your Old Man,1926
1,0015532,5974,Die Abenteuer des Prinzen Achmed,1926
3,0018033,1227,It,1927
1,0017136,1267,Metropolis,1927
2,0018192,1312,Abel Gance&#39;s Napoleon,1927
0,0018528,1311,"Unknown, The",1927
2,0018455,1632,Sunrise: A Song of Two Humans,1927
0,0018051,1964,"Kid Brother, The",1927
0,0018199,1982,Nevada,1927
3,0018183,2010,My Best Girl,1927
1,0018578,3118,Wings,1927
1,0018037,5975,"Jazz Singer, The",1927
1,0017825,7324,Downhill [When Boys Leave Home],1927
0,0019254,1314,"Passion of Joan of Arc, The",1928
0,0019412,1963,Speedy,1928
0,0018773,1968,"Circus, The",1928
0,0018742,1970,"Cameraman, The",1928
0,0019421,1971,"Steamboat Bill, Jr.",1928
0,0019304,1972,"Racket, The",1928
0,0018684,1977,Beggars of Life,1928
1,0019290,1979,"Power of the Press, The",1928
0,0018937,1980,A Girl in Every Port,1928
3,0019258,2013,"Patsy, The",1928
2,0019571,2017,While the City Sleeps,1928
2,0019130,2021,"Man Who Laughs, The",1928
1,0018806,5912,"Crowd, The",1928
2,0018839,5984,"Docks of New York, The",1928
2,0019237,9314,Our Dancing Daughters,1928
0,0020530,1313,Un chien andalou,1929
2,0019777,1953,"Cocoanuts, The",1929
0,0020572,1962,Welcome Danger,1929
3,0018737,2324,Pandora&#39;s Box (Die B&uuml;chse der Pandora),1929
0,0019760,3897,Man with a Movie Camera,1929
2,0019702,5979,Blackmail,1929
0,0020286,6046,Throw of the Dice,1929
3,0021015,7287,Juno and the Paycock [The Shame of Mary Boyle],1929
3,0019729,8464,Broadway Melody,1929
1,0020697,1315,"Blue Angel, The",1930
0,0020629,1316,All Quiet on the Western Front,1930
3,0020641,1326,Anna Christie,1930
3,0021040,3713,Ladies of Leisure,1930
0,0021577,3871,L&#39;Age d&#39;Or,1930
1,0021156,3865,Morocco,1930
3,0021148,3927,Min and Bill,1930
2,0020670,4253,Be Yourself,1930
3,0020668,6782,"Bat Whispers, The",1930
3,0021165,7291,Murder!,1930
3,0020640,8463,Animal Crackers,1930
3,0022100,610,M,1931
3,0022183,628,M&auml;dchen in Uniform,1931
3,0022208,636,Night Nurse,1931
1,0021884,1317,Frankenstein,1931
3,0020642,1327,Anna Christie,1931
3,0023196,1333,Mata Hari,1931
0,0022458,1633,Tabu: A Story of the South Seas,1931
3,0022000,1828,Indiscreet,1931
0,0022054,1956,"Last Flight, The",1931
