AwardYear,AwardCeremonyNum,Movie,AwardCategory,AwardStatus
1927/28,1,The Patent Leather Kid,ACTOR,nominated
1927/28,1,The Last Command,ACTOR,won
1927/28,1,The Noose,ACTOR,nominated
1927/28,1,The Way of All Flesh,ACTOR,won
1927/28,1,7th Heaven,ACTRESS,won
1927/28,1,Street Angel,ACTRESS,won
1927/28,1,A Ship Comes In,ACTRESS,nominated
1927/28,1,Sunrise,ACTRESS,won
1927/28,1,Sadie Thompson,ACTRESS,nominated
1927/28,1,7th Heaven,ART DIRECTION,nominated
1927/28,1,The Dove;,ART DIRECTION,won
1927/28,1,Sunrise,ART DIRECTION,nominated
1927/28,1,Tempest,ART DIRECTION,won
1927/28,1,The Magic Flame;,CINEMATOGRAPHY,nominated
1927/28,1,Sadie Thompson,CINEMATOGRAPHY,nominated
1927/28,1,The Devil Dancer;,CINEMATOGRAPHY,nominated
1927/28,1,Sunrise,CINEMATOGRAPHY,won
1927/28,1,Speedy,DIRECTING (Comedy Picture),nominated
1927/28,1,Two Arabian Knights,DIRECTING (Comedy Picture),won
1927/28,1,Sorrell and Son,DIRECTING (Dramatic Picture),nominated
1927/28,1,7th Heaven,DIRECTING (Dramatic Picture),won
1927/28,1,The Crowd,DIRECTING (Dramatic Picture),nominated
1927/28,1,The Racket,OUTSTANDING PICTURE,nominated
1927/28,1,7th Heaven,OUTSTANDING PICTURE,nominated
1927/28,1,Wings,OUTSTANDING PICTURE,won
1927/28,1,Glorious Betsy,WRITING (Adaptation),nominated
1927/28,1,7th Heaven,WRITING (Adaptation),won
1927/28,1,The Jazz Singer,WRITING (Adaptation),nominated
1927/28,1,Underworld,WRITING (Original Story),won
1927/28,1,The Last Command,WRITING (Original Story),nominated
1927/28,1,The Private Life of Helen of Troy,WRITING (Title Writing),nominated
1928/29,2,Alibi,ACTOR,nominated
1928/29,2,The Valiant,ACTOR,nominated
1928/29,2,The Patriot,ACTOR,nominated
1928/29,2,Thunderbolt,ACTOR,nominated
1928/29,2,In Old Arizona,ACTOR,won
1928/29,2,Madame X,ACTRESS,nominated
1928/29,2,The Broadway Melody,ACTRESS,nominated
1928/29,2,The Divine Lady,ACTRESS,nominated
1928/29,2,The Barker,ACTRESS,nominated
1928/29,2,Coquette,ACTRESS,won
1928/29,2,The Letter,ACTRESS,nominated
1928/29,2,Street Angel,ART DIRECTION,nominated
1928/29,2,The Awakening,ART DIRECTION,nominated
1928/29,2,The Bridge of San Luis Rey,ART DIRECTION,won
1928/29,2,The Patriot,ART DIRECTION,nominated
1928/29,2,Alibi;,ART DIRECTION,nominated
1928/29,2,Dynamite,ART DIRECTION,nominated
1928/29,2,White Shadows in the South Seas,CINEMATOGRAPHY,won
1928/29,2,Street Angel,CINEMATOGRAPHY,nominated
1928/29,2,Four Devils;,CINEMATOGRAPHY,nominated
1928/29,2,In Old Arizona,CINEMATOGRAPHY,nominated
1928/29,2,The Divine Lady,CINEMATOGRAPHY,nominated
1928/29,2,Our Dancing Daughters,CINEMATOGRAPHY,nominated
1928/29,2,Madame X,DIRECTING,nominated
1928/29,2,The Patriot,DIRECTING,nominated
1928/29,2,Drag;,DIRECTING,nominated
1928/29,2,Weary River,DIRECTING,nominated
1928/29,2,The Broadway Melody,DIRECTING,nominated
1928/29,2,The Divine Lady,DIRECTING,won
1928/29,2,In Old Arizona,DIRECTING,nominated
1928/29,2,Alibi,OUTSTANDING PICTURE,nominated
1928/29,2,The Patriot,OUTSTANDING PICTURE,nominated
1928/29,2,The Broadway Melody,OUTSTANDING PICTURE,won
1928/29,2,In Old Arizona,OUTSTANDING PICTURE,nominated
1928/29,2,Hollywood Revue,OUTSTANDING PICTURE,nominated
1928/29,2,The Valiant,WRITING,nominated
1928/29,2,The Patriot,WRITING,won
1928/29,2,Skyscraper,WRITING,nominated
1928/29,2,Wonder of Women,WRITING,nominated
1928/29,2,In Old Arizona;,WRITING,nominated
1928/29,2,The Last of Mrs. Cheyney,WRITING,nominated
1928/29,2,A Woman of Affairs;,WRITING,nominated
1928/29,2,Our Dancing Daughters,WRITING,nominated
1928/29,2,The Cop;,WRITING,nominated
1928/29,2,Sal of Singapore;,WRITING,nominated
1928/29,2,The Leatherneck;,WRITING,nominated
1929/30,3,The Green Goddess,ACTOR,nominated
1929/30,3,Condemned,ACTOR,nominated
1929/30,3,The Rogue Song,ACTOR,nominated
1929/30,3,Disraeli,ACTOR,won
1929/30,3,The Big House,ACTOR,nominated
1929/30,3,The Love Parade,ACTOR,nominated
1929/30,3,Bulldog Drummond,ACTOR,nominated
1929/30,3,The Big Pond,ACTOR,nominated
1929/30,3,The Divorcee,ACTRESS,won
1929/30,3,Sarah and Son,ACTRESS,nominated
1929/30,3,The Trespasser,ACTRESS,nominated
1929/30,3,Anna Christie,ACTRESS,nominated
1929/30,3,Their Own Desire,ACTRESS,nominated
1929/30,3,The Devil's Holiday,ACTRESS,nominated
1929/30,3,Romance,ACTRESS,nominated
1929/30,3,Sally,ART DIRECTION,nominated
1929/30,3,The Vagabond King,ART DIRECTION,nominated
1929/30,3,The Love Parade,ART DIRECTION,nominated
1929/30,3,King of Jazz,ART DIRECTION,won
1929/30,3,Bulldog Drummond,ART DIRECTION,nominated
1929/30,3,Hell's Angels,CINEMATOGRAPHY,nominated
1929/30,3,With Byrd at the South Pole,CINEMATOGRAPHY,won
1929/30,3,Anna Christie,CINEMATOGRAPHY,nominated
1929/30,3,The Love Parade,CINEMATOGRAPHY,nominated
1929/30,3,All Quiet on the Western Front,CINEMATOGRAPHY,nominated
1929/30,3,The Divorcee,DIRECTING,nominated
1929/30,3,Hallelujah,DIRECTING,nominated
1929/30,3,Anna Christie;,DIRECTING,nominated
1929/30,3,The Love Parade,DIRECTING,nominated
1929/30,3,All Quiet on the Western Front,DIRECTING,won
1929/30,3,Romance,DIRECTING,nominated
1929/30,3,The Divorcee,OUTSTANDING PRODUCTION,nominated
1929/30,3,The Love Parade,OUTSTANDING PRODUCTION,nominated
1929/30,3,Disraeli,OUTSTANDING PRODUCTION,nominated
1929/30,3,The Big House,OUTSTANDING PRODUCTION,nominated
1929/30,3,All Quiet on the Western Front,OUTSTANDING PRODUCTION,won
1929/30,3,Song of the Flame,SOUND RECORDING,nominated
1929/30,3,Raffles,SOUND RECORDING,nominated
1929/30,3,The Case of Sergeant Grischa,SOUND RECORDING,nominated
1929/30,3,The Big House,SOUND RECORDING,won
1929/30,3,The Love Parade,SOUND RECORDING,nominated
1929/30,3,The Divorcee,WRITING,nominated
1929/30,3,Street of Chance,WRITING,nominated
1929/30,3,Disraeli,WRITING,nominated
1929/30,3,The Big House,WRITING,won
1929/30,3,All Quiet on the Western Front,WRITING,nominated
1930/31,4,The Front Page,ACTOR,nominated
1930/31,4,The Royal Family of Broadway,ACTOR,nominated
1930/31,4,A Free Soul,ACTOR,won
1930/31,4,Cimarron,ACTOR,nominated
1930/31,4,Skippy,ACTOR,nominated
1930/31,4,Min and Bill,ACTRESS,won
1930/31,4,A Free Soul,ACTRESS,nominated
1930/31,4,Holiday,ACTRESS,nominated
1930/31,4,Morocco,ACTRESS,nominated
1930/31,4,Cimarron,ACTRESS,nominated
1930/31,4,Svengali,ART DIRECTION,nominated
1930/31,4,Whoopee!,ART DIRECTION,nominated
1930/31,4,Just Imagine,ART DIRECTION,nominated
1930/31,4,Morocco,ART DIRECTION,nominated
1930/31,4,Cimarron,ART DIRECTION,won
1930/31,4,Svengali,CINEMATOGRAPHY,nominated
1930/31,4,Tabu,CINEMATOGRAPHY,won
1930/31,4,The Right to Love,CINEMATOGRAPHY,nominated
1930/31,4,Morocco,CINEMATOGRAPHY,nominated
1930/31,4,Cimarron,CINEMATOGRAPHY,nominated
1930/31,4,The Front Page,DIRECTING,nominated
1930/31,4,A Free Soul,DIRECTING,nominated
1930/31,4,Morocco,DIRECTING,nominated
1930/31,4,Cimarron,DIRECTING,nominated
1930/31,4,Skippy,DIRECTING,won
1930/31,4,East Lynne,OUTSTANDING PRODUCTION,nominated
1930/31,4,Trader Horn,OUTSTANDING PRODUCTION,nominated
1930/31,4,The Front Page,OUTSTANDING PRODUCTION,nominated
1930/31,4,Cimarron,OUTSTANDING PRODUCTION,won
1930/31,4,Skippy,OUTSTANDING PRODUCTION,nominated
1930/31,4,The Criminal Code,WRITING (Adaptation),nominated
1930/31,4,Little Caesar,WRITING (Adaptation),nominated
1930/31,4,Holiday,WRITING (Adaptation),nominated
1930/31,4,Cimarron,WRITING (Adaptation),won
1930/31,4,Skippy,WRITING (Adaptation),nominated
1930/31,4,Laughter,WRITING (Original Story),nominated
1930/31,4,Smart Money,WRITING (Original Story),nominated
1930/31,4,The Public Enemy,WRITING (Original Story),nominated
1930/31,4,The Dawn Patrol,WRITING (Original Story),won
1930/31,4,The Doorway to Hell,WRITING (Original Story),nominated
1931/32,5,The Champ,ACTOR,won
1931/32,5,Dr. Jekyll and Mr. Hyde,ACTOR,nominated
1931/32,5,The Guardsman,ACTOR,nominated
1931/32,5,The Sin of Madelon Claudet,ACTRESS,won
1931/32,5,Emma,ACTRESS,nominated
1931/32,5,The Guardsman,ACTRESS,nominated
1931/32,5,À Nous la Liberté,ART DIRECTION,nominated
1931/32,5,Transatlantic,ART DIRECTION,won
1931/32,5,Arrowsmith,ART DIRECTION,nominated
1931/32,5,Shanghai Express,CINEMATOGRAPHY,won
1931/32,5,Dr. Jekyll and Mr. Hyde,CINEMATOGRAPHY,nominated
1931/32,5,Arrowsmith,CINEMATOGRAPHY,nominated
1931/32,5,Bad Girl,DIRECTING,won
1931/32,5,The Champ,DIRECTING,nominated
1931/32,5,Shanghai Express,DIRECTING,nominated
1931/32,5,The Smiling Lieutenant,OUTSTANDING PRODUCTION,nominated
1931/32,5,Shanghai Express,OUTSTANDING PRODUCTION,nominated
1931/32,5,Bad Girl,OUTSTANDING PRODUCTION,nominated
1931/32,5,Grand Hotel,OUTSTANDING PRODUCTION,won
1931/32,5,One Hour with You,OUTSTANDING PRODUCTION,nominated
1931/32,5,Arrowsmith,OUTSTANDING PRODUCTION,nominated
1931/32,5,The Champ,OUTSTANDING PRODUCTION,nominated
1931/32,5,Five Star Final,OUTSTANDING PRODUCTION,nominated
1931/32,5,It's Got Me Again,SHORT SUBJECT (Cartoon),nominated
1931/32,5,Mickey's Orphans,SHORT SUBJECT (Cartoon),nominated
1931/32,5,Flowers and Trees,SHORT SUBJECT (Cartoon),won
1931/32,5,The Loud Mouth,SHORT SUBJECT (Comedy),nominated
1931/32,5,Stout Hearts and Willing Hands,SHORT SUBJECT (Comedy),nominated
1931/32,5,Scratch-As-Catch-Can,SHORT SUBJECT (Comedy),nominated
1931/32,5,The Music Box,SHORT SUBJECT (Comedy),won
1931/32,5,Wrestling Swordfish,SHORT SUBJECT (Novelty),won
1931/32,5,Swing High,SHORT SUBJECT (Novelty),nominated
1931/32,5,Screen Souvenirs,SHORT SUBJECT (Novelty),nominated
1931/32,5,Bad Girl,WRITING (Adaptation),won
1931/32,5,Dr. Jekyll and Mr. Hyde,WRITING (Adaptation),nominated
1931/32,5,Arrowsmith,WRITING (Adaptation),nominated
1931/32,5,What Price Hollywood?,WRITING (Original Story),nominated
1931/32,5,The Champ,WRITING (Original Story),won
1931/32,5,The Star Witness,WRITING (Original Story),nominated
1931/32,5,Lady and Gent,WRITING (Original Story),nominated
1932/33,6,I Am a Fugitive from a Chain Gang,ACTOR,nominated
1932/33,6,The Private Life of Henry VIII,ACTOR,won
1932/33,6,Berkeley Square,ACTOR,nominated
1932/33,6,Cavalcade,ACTRESS,nominated
1932/33,6,Morning Glory,ACTRESS,won
1932/33,6,Lady for a Day,ACTRESS,nominated
1932/33,6,A Farewell to Arms,ART DIRECTION,nominated
1932/33,6,Cavalcade,ART DIRECTION,won
1932/33,6,When Ladies Meet,ART DIRECTION,nominated
1932/33,6,A Farewell to Arms,CINEMATOGRAPHY,won
1932/33,6,The Sign of the Cross,CINEMATOGRAPHY,nominated
1932/33,6,Reunion in Vienna,CINEMATOGRAPHY,nominated
1932/33,6,Cavalcade,DIRECTING,won
1932/33,6,Lady for a Day,DIRECTING,nominated
1932/33,6,Little Women,DIRECTING,nominated
1932/33,6,She Done Him Wrong,OUTSTANDING PRODUCTION,nominated
1932/33,6,Little Women,OUTSTANDING PRODUCTION,nominated
1932/33,6,The Private Life of Henry VIII,OUTSTANDING PRODUCTION,nominated
1932/33,6,A Farewell to Arms,OUTSTANDING PRODUCTION,nominated
1932/33,6,Cavalcade,OUTSTANDING PRODUCTION,won
1932/33,6,42nd Street,OUTSTANDING PRODUCTION,nominated
1932/33,6,Smilin' Through,OUTSTANDING PRODUCTION,nominated
1932/33,6,I Am a Fugitive from a Chain Gang,OUTSTANDING PRODUCTION,nominated
1932/33,6,Lady for a Day,OUTSTANDING PRODUCTION,nominated
1932/33,6,State Fair,OUTSTANDING PRODUCTION,nominated
1932/33,6,The Three Little Pigs,SHORT SUBJECT (Cartoon),won
1932/33,6,Building a Building,SHORT SUBJECT (Cartoon),nominated
1932/33,6,The Merry Old Soul,SHORT SUBJECT (Cartoon),nominated
1932/33,6,A Preferred List,SHORT SUBJECT (Comedy),nominated
1932/33,6,Mister Mugg,SHORT SUBJECT (Comedy),nominated
1932/33,6,So This Is Harris,SHORT SUBJECT (Comedy),won
1932/33,6,Menu,SHORT SUBJECT (Novelty),nominated
1932/33,6,Krakatoa,SHORT SUBJECT (Novelty),won
1932/33,6,The Sea,SHORT SUBJECT (Novelty),nominated
1932/33,6,A Farewell to Arms,SOUND RECORDING,won
1932/33,6,42nd Street,SOUND RECORDING,nominated
1932/33,6,Gold Diggers of 1933,SOUND RECORDING,nominated
1932/33,6,I Am a Fugitive from a Chain Gang,SOUND RECORDING,nominated
1932/33,6,Lady for a Day,WRITING (Adaptation),nominated
1932/33,6,Little Women,WRITING (Adaptation),won
1932/33,6,State Fair,WRITING (Adaptation),nominated
